Họ và tên,Tuổi,Chiều cao (cm),Cân nặng (kg),Vị trí thi đấu,Quốc tịch,Chỉ số tổng thể,Tiềm năng phát triển,Giá trị chuyển nhượng (euro),Lương (euro)
L. Zingerle,24,185.42,78,GK,Germany,71,75,2200000,5000
F. MÃ¼ller,21,193.04,84.8,GK,Germany,71,84,3700000,8000
R. Tesche,31,154.94,71.2,"CDM,CM",Germany,71,71,1600000,11000
U. Emanuelson,32,175.26,68,"CM,CDM,LW",Netherlands,71,71,1800000,12000
J. Abella,25,175.26,73.9,RB,Mexico,71,75,2600000,11000
T. Kleindienst,23,193.04,83.9,ST,Germany,71,76,3200000,15000
M. Yumlu,31,190.5,77.1,CB,Turkey,71,71,1800000,11000
M. Matip,33,185.42,84.8,CB,Cameroon,71,71,1400000,15000
J. Sambenito,27,182.88,86.2,"ST,CF",Paraguay,71,74,,
S. Prevljak,23,187.96,79.8,"ST,CAM",Bosnia Herzegovina,71,76,3200000,21000
D. von Ballmoos,24,193.04,89.8,GK,Switzerland,71,79,2600000,9000
A. Nwakaeme,29,185.42,79.8,LM,Nigeria,71,71,2300000,20000
D. Silva,32,175.26,73.9,"CM,CAM,LM,CDM",Colombia,71,71,2000000,3000
I. Oblyakov,20,175.26,73.9,"CM,CAM",Russia,71,82,3900000,1000
M. Fraga,31,182.88,83,GK,Mexico,71,71,1500000,10000
B. BaÅŸaÃ§Ä±koÄŸlu,23,172.72,69.9,"LW,LM,RW",Turkey,71,76,3200000,9000
C. Bryson,32,170.18,59.9,CM,Scotland,71,71,2000000,26000
D. Andrade,28,172.72,69.9,LB,Colombia,71,71,2000000,2000
E. Andersen,26,154.94,73,LW,Norway,71,72,2800000,6000
H. Dean,27,190.5,74.8,CB,England,71,73,2400000,17000
Edu Machado,28,175.26,69.9,RB,Portugal,71,71,1900000,6000
E. Aguirre,22,172.72,66.2,"LM,CM",Mexico,71,82,4100000,14000
N. Leiva,22,175.26,76.2,"LM,RM",Spain,71,79,3500000,5000
Tiago,26,154.94,72.1,"ST,LM,CAM",Brazil,71,72,2900000,8000
K. Musona,28,172.72,71.2,"CF,LM,ST,CAM",Zimbabwe,71,71,2400000,15000
A. GonÃ§alves,33,152.4,78.9,"CM,RM",France,71,71,1800000,12000
TorrejÃ³n,33,187.96,88,CB,Spain,71,71,1400000,18000
C. Pinares,27,175.26,73,"CAM,CM,LM",Chile,71,72,2700000,7000
R. Pucino,27,182.88,73.9,"RB,CB,RM",Italy,71,72,2200000,3000
P. Barrera,31,152.4,72.1,RM,Mexico,71,71,2100000,14000
Nascimentardo,31,170.18,66.2,"CAM,CF",Brazil,71,71,2200000,14000
Heltinho Melo,35,175.26,68,"CAM,RB",Brazil,71,71,1200000,10000
B. Koita,28,185.42,86.2,"ST,RM,LM",France,71,71,2500000,11000
Canella,31,152.4,73,LB,Spain,71,71,1700000,7000
K. Lee,30,152.4,76.2,CM,England,71,71,2200000,18000
R. Mphahlele,29,185.42,79.8,"RB,CB,RWB",South Africa,71,71,1900000,1000
K. MÃ¼ller,27,190.5,89.8,GK,Germany,71,72,1800000,7000
J. Cuero,30,175.26,69.9,"LM,RM",Colombia,71,71,2200000,2000
J. Wallace,24,152.4,69.9,RM,England,71,74,3000000,9000
J. SÃ¡nchez,29,167.64,68,"RB,RM",Mexico,71,71,1900000,22000
S. Guirassy,22,187.96,82.1,"ST,LW,RW",France,71,79,3500000,13000
L. Agbenyenu,22,175.26,69.9,"LB,LW",Ghana,71,79,3000000,6000
J. Harrison,22,175.26,69.9,"RM,RW,LM",England,71,80,3700000,43000
S. Schwab,28,182.88,78,"CDM,CM",Austria,71,72,2200000,11000
D. Burn,26,198.12,87.1,CB,England,71,73,2400000,25000
M. Correia,29,185.42,81.2,CB,Portugal,71,71,1800000,8000
Marlion Rolim,27,175.26,69.9,CAM,Brazil,71,71,2500000,18000
S. Michel,28,152.4,78.9,"ST,LM",Germany,71,71,2500000,10000
P. Olkowski,29,182.88,76.2,"RB,RWB",Poland,71,71,1900000,8000
G. Loria,33,198.12,84.8,GK,Georgia,71,71,1400000,8000
Javi Castellano,31,182.88,73,"CDM,CM",Spain,71,71,1800000,7000
M. Fouzair,27,167.64,68.9,"RM,CAM",Morocco,71,71,2500000,23000
C. YambÃ©rÃ©,28,190.5,83.9,CB,Central African Rep.,71,73,2300000,9000
B. Sanneh,24,182.88,74.8,CB,Gambia,71,78,2800000,10000
H. Reed,24,175.26,72.1,"CDM,RM,RB",England,71,78,2800000,22000
Fernando,20,175.26,72.1,LM,Brazil,71,85,5000000,1000
S. PlavÅ¡iÄ‡,23,165.1,59.9,"RM,LM",Serbia,71,77,3200000,1000
J. Morrison,32,152.4,64,"CAM,CM",Scotland,71,71,1800000,21000
D. Machado,25,172.72,62.1,"LB,LM",Colombia,71,75,2600000,11000
P. DÃ­az,24,154.94,69.9,"CB,RB,LB",Chile,71,78,2800000,18000
A. Khalili,26,182.88,77.1,"CAM,CM,CDM",Sweden,71,74,2900000,10000
K. Kerschbaumer,26,154.94,77.1,"CM,CDM,LM",Austria,71,72,2700000,17000
S. MedojeviÄ‡,28,182.88,78,CDM,Serbia,71,71,2000000,12000
G. Berardi,30,152.4,72.1,"RB,CB,LB",Switzerland,71,71,1800000,25000
Thiago Santana,26,182.88,78.9,ST,Brazil,71,73,2900000,5000
M. MaloÄa,29,190.5,78,CB,Croatia,71,71,1800000,7000
Negueba,26,152.4,64.9,"RM,CM,LM",Brazil,71,72,2800000,6000
S. Malone,27,187.96,74.8,LB,England,71,72,2200000,24000
J. Cooper,24,193.04,84.8,CB,England,71,75,2600000,8000
H. Abe,29,170.18,68.9,"LM,CAM,RM,CF",Japan,71,71,2400000,7000
RaÃºl Lizoain,28,185.42,83,GK,Spain,71,72,1800000,5000
K. Lafferty,31,193.04,88,"ST,LM",Northern Ireland,71,71,2300000,33000
Wiliam Santinho,35,195.58,91.2,GK,Brazil,71,71,950000,13000
T. Beugelsdijk,28,193.04,78.9,CB,Netherlands,71,71,2000000,6000
F. Gulbrandsen,26,175.26,78.9,ST,Norway,71,73,2900000,23000
L. Bruins,32,154.94,74.8,"LM,CAM",Netherlands,71,71,2100000,5000
R. Oshima,26,167.64,64,"CDM,CM",Japan,71,73,2400000,6000
Ãlvaro,27,182.88,78,"ST,LM,RM",Spain,71,72,2800000,18000
M. Al Buraik,26,172.72,58.1,RB,Saudi Arabia,71,73,2400000,20000
Raphael Rossi,28,187.96,83.9,CB,Brazil,71,72,2200000,18000
G. Litteri,30,185.42,82.1,ST,Italy,71,71,2300000,3000
M. RodrÃ­guez,32,152.4,74.8,RB,Argentina,71,71,1300000,8000
C. GÃ¼lselam,31,193.04,88,"CDM,CM",Turkey,71,71,1800000,9000
M. Le Bihan,28,182.88,79.8,ST,France,71,71,2400000,22000
R. BajiÄ‡,24,187.96,79.8,ST,Bosnia Herzegovina,71,76,3200000,16000
F. Navarro,29,165.1,62.1,RB,Mexico,71,71,1800000,18000
B. DrÄ…gowski,21,187.96,73.9,GK,Poland,71,82,3200000,15000
D. Bentley,25,187.96,72.1,GK,England,71,76,2300000,16000
Juninho,30,170.18,67.1,"CM,CDM",Brazil,71,71,2300000,6000
Kadu,32,187.96,79.8,CB,Brazil,71,71,1600000,14000
Rafa Mir,21,190.5,86.2,"ST,RM,CAM,LM",Spain,71,82,4100000,31000
M. Autret,28,175.26,71.2,"CAM,CM",France,71,71,2500000,6000
A. Diomande,29,154.94,81.2,"ST,LM",Norway,71,71,2400000,7000
B. Jeannot,27,182.88,78,ST,France,71,72,2800000,11000
Z. KuzmanoviÄ‡,31,185.42,79.8,"CM,CDM",Serbia,71,71,2200000,17000
D. Lemos,30,152.4,82.1,"CDM,CM",Argentina,71,71,1800000,10000
D. Barbona,24,182.88,81.2,"LM,RM,CM,CAM",Argentina,71,76,3200000,7000
F. Erpen,35,154.94,78,CB,Argentina,71,71,550000,7000
S. Andersson,27,190.5,84.8,ST,Sweden,71,72,2800000,21000
M. Hector,26,193.04,82.1,CB,Jamaica,71,74,2500000,16000
G. Molins,30,185.42,83,ST,Sweden,71,71,2400000,6000
L. Jutkiewicz,29,185.42,77.1,ST,England,71,71,2400000,21000
Silvosinho,35,152.4,73,"RB,RM,RWB",Brazil,71,71,675000,11000
K. Balanta,21,152.4,73,"CDM,CM",Colombia,71,83,3800000,2000
V. Muriqi,24,193.04,86.2,ST,Kosovo,71,77,3300000,9000
F. MÃ¡rquez,31,182.88,86.2,"ST,LM",Argentina,71,71,2300000,10000
H. Van Der Bruggen,25,154.94,73.9,"CM,CDM",Belgium,71,74,2900000,9000
L. Nielsen,31,185.42,73.9,CB,Denmark,71,71,1800000,5000
A. Mac Allister,20,175.26,69.9,"CM,CAM",Argentina,71,85,5000000,13000
Jonas,27,185.42,82.1,CDM,Brazil,71,72,2300000,21000
Defendi,32,190.5,83.9,CB,Brazil,71,71,1400000,8000
L. Quintana,27,152.4,73.9,CB,Mexico,71,74,2500000,13000
Dorca,36,182.88,76.2,"CDM,CM",Spain,71,71,550000,5000
E. Prib,29,154.94,77.1,"LM,LB,CM",Russia,71,71,2400000,21000
Yeom Ki Hun,35,182.88,78,"RW,LW",Korea Republic,71,71,1000000,5000
Bremer,21,182.88,79.8,CB,Brazil,71,80,3200000,16000
Rodrigo,26,175.26,72.1,RB,Brazil,71,74,2400000,7000
J. Attamah,24,154.94,79.8,"CB,CDM",Ghana,71,74,2500000,12000
Ãlvaro Lemos,25,175.26,76.2,"RB,RWB,LB",Spain,71,74,2400000,7000
J. Meram,30,185.42,74.8,LM,Iraq,71,71,2300000,6000
Renato Neto,27,185.42,83,CM,Brazil,71,72,2700000,13000
Alexandre Guedes,25,185.42,77.1,ST,Portugal,71,76,3200000,7000
E. GarcÃ­a,29,167.64,67.1,LB,Mexico,71,71,1900000,18000
A. Ateef,26,175.26,63,"CDM,CM",Saudi Arabia,71,74,2500000,20000
N. Bitton,27,193.04,83.9,"CDM,CB",Israel,71,72,2300000,28000
S. Thern,26,154.94,76.2,CM,Sweden,71,73,2800000,5000
N. KatiÄ‡,22,193.04,79.8,CB,Croatia,71,82,3600000,20000
O. Haddadi,27,182.88,84.8,"LB,CB,LWB",Tunisia,71,72,2300000,9000
H. Choudhury,21,152.4,64,"CDM,CM",England,71,80,3200000,24000
M. JedinÃ¡k,34,187.96,78,"CDM,CB",Australia,71,71,950000,12000
D. Benlamri,29,185.42,83,"CB,RB,CDM",Algeria,71,72,2200000,20000
S. Palacios,27,170.18,68.9,"RM,ST,RW",Argentina,71,71,2500000,18000
M. Al Owais,27,187.96,78.9,GK,Saudi Arabia,71,73,2000000,17000
O. Rashid,27,175.26,67.1,CM,Iraq,71,71,2500000,4000
G. Thorne,26,187.96,83.9,CDM,England,71,75,2600000,23000
A. PeÅ¡iÄ‡,26,190.5,79.8,ST,Serbia,70,73,2200000,22000
S. Berahino,25,154.94,82.1,"ST,CAM",Burundi,70,75,2400000,22000
R. Bianco,31,154.94,79.8,"CM,CDM",Italy,70,70,1600000,3000
N. Sarenren Bazee,22,182.88,69.9,RM,Nigeria,70,78,2600000,13000
J. BÃ¶Ã°varsson,26,190.5,84.8,ST,Iceland,70,72,2200000,20000
C. De Norre,22,175.26,72.1,"LB,LWB,LM",Belgium,71,78,2800000,7000
S. Maguire,24,175.26,68,"ST,LM",Republic of Ireland,71,78,3400000,10000
L. Lollo,28,154.94,74.8,"CM,CF",Italy,71,71,2400000,10000
Luso,34,182.88,74.8,"CB,CDM,CM",Spain,71,71,950000,5000
A. Kolomeytsev,30,182.88,78,"CDM,CAM",Russia,71,71,1800000,1000
J. Siebenhandl,29,182.88,81.2,GK,Austria,71,72,1900000,11000
S. Downing,34,154.94,64,"LM,LW,RW",England,71,71,1400000,32000
O. PÃ©rez,46,172.72,72.1,GK,Mexico,71,71,160000,8000
P. Klingmann,30,154.94,78.9,"RB,RWB",Germany,71,71,1700000,5000
L. Mancuso,26,182.88,77.1,"RW,LW,ST",Italy,71,72,2800000,54000
Eguaras,27,154.94,77.1,CDM,Spain,71,74,2500000,7000
G. Makaridze,28,190.5,84.8,GK,Georgia,70,72,1500000,3000
S. Sam,31,175.26,68,"RM,LM",Germany,70,70,1700000,11000
Lucas Possignolo,24,187.96,74.8,CB,Brazil,70,77,2100000,5000
Edson Farias,27,175.26,67.1,"RM,RB",Brazil,70,70,1900000,7000
G. Campi,27,193.04,88,"CB,LB",Argentina,70,72,1700000,9000
A. Hutton,34,185.42,73,"RB,LB",Scotland,70,70,675000,10000
Braga,35,154.94,74.8,"CM,CAM",Portugal,70,70,750000,5000
C. Ganea,26,175.26,73,"LB,LM",Romania,70,73,1800000,11000
E. Burgos,27,190.5,79.8,CB,Argentina,70,73,1800000,6000
S. Janko,23,152.4,69.9,RB,Switzerland,70,74,1900000,6000
L. Pasciuti,29,172.72,68,"RM,LM,CM",Italy,70,70,1800000,3000
J. Cavalli,37,170.18,64.9,"CAM,CM",France,70,70,600000,3000
B. Berisha,33,182.88,79.8,ST,Kosovo,70,70,1400000,8000
T. MartÃ­nez,24,172.72,66.2,"CAM,CM",Argentina,70,79,2700000,4000
H. Mendyl,21,152.4,73,"LB,LWB",Morocco,70,83,3000000,10000
Alberto Benito,26,175.26,68,RB,Spain,70,73,1800000,6000
G. Varela,25,172.72,69.9,RB,Uruguay,70,75,2000000,10000
S. Lundevall,30,152.4,73.9,LM,Sweden,70,70,1700000,4000
J. RodrÃ­guez,23,187.96,83.9,"CB,RB",Argentina,70,77,2100000,7000
M. Azira,31,152.4,73,"CDM,CM",Uganda,70,70,1300000,5000
OrtuÃ±o,28,182.88,77.1,ST,Spain,70,70,1900000,6000
T. BaÅ¡iÄ‡,22,187.96,79.8,CM,Croatia,70,79,2700000,15000
F. Amuzu,19,170.18,64.9,"LM,CF",Belgium,70,84,3700000,5000
Bismark,25,170.18,78,"LM,LW,RM,ST",Brazil,70,72,2200000,10000
J. AdÃ©oti,29,182.88,81.2,"CDM,CB,CM",Benin,70,70,1400000,5000
William,32,175.26,72.1,"CM,LM",Brazil,70,70,1500000,13000
J. Garner,30,152.4,73.9,ST,England,70,70,1700000,30000
M. Matos,36,154.94,86.2,ST,Argentina,70,70,825000,6000
C. Åžahin,24,152.4,69.9,"RM,LM",Turkey,70,74,2300000,9000
E. Ã–zbir,29,187.96,78,GK,Turkey,70,71,1400000,7000
Javi Ros,29,172.72,68,"CM,CDM",Spain,70,70,1800000,7000
K. Leerdam,28,152.4,69.9,"RB,LB",Suriname,70,70,1400000,5000
M. Silvestri,28,190.5,79.8,GK,Italy,70,70,1200000,2000
S. Ujkani,30,187.96,87.1,GK,Kosovo,70,70,1200000,7000
Victor Fachinhas,35,182.88,77.1,GK,Brazil,70,70,725000,9000
NÃºrio,23,152.4,73,"LB,LM,LWB",Angola,70,75,2000000,7000
S. Marinos,31,152.4,72.1,"RB,RM,RWB",Greece,70,70,1300000,8000
G. Leadbitter,33,152.4,78.9,"CDM,CM",England,70,70,1000000,8000
S. Pocognoli,31,182.88,81.2,LB,Belgium,70,70,1300000,8000
K. HÃ¤mÃ¤lÃ¤inen,32,187.96,73.9,"LM,CAM",Finland,70,70,1600000,6000
Y. Moreno,23,175.26,69.9,"LM,CAM",Colombia,70,79,2700000,14000
P. Helland,29,185.42,83.9,RW,Norway,70,70,1800000,5000
M. Pedersen,28,154.94,79.8,ST,Norway,70,70,1800000,4000
CasadesÃºs,34,154.94,78.9,"ST,CAM",Spain,70,70,1100000,7000
J. Archer,25,190.5,79.8,GK,Scotland,70,73,1600000,6000
P. Sagna,28,182.88,76.2,RB,Senegal,70,70,1500000,4000
J. MenÃ©ndez,25,165.1,62.1,"LM,RM",Argentina,70,76,2400000,10000
Y. Kashiwagi,31,175.26,73,"CM,CAM",Japan,70,70,1600000,7000
Lucas Ãfrico,24,187.96,79.8,CB,Brazil,70,74,2000000,5000
N. MihajloviÄ‡,23,172.72,71.2,LW,Serbia,70,76,2400000,6000
S. Breitkreuz,27,187.96,88,CB,Germany,70,73,1800000,5000
D. Delgado,26,185.42,69.9,"RM,RB",Colombia,70,71,2100000,2000
S. Johnson,29,190.5,98,GK,United States,70,71,1400000,4000
Ferro,21,190.5,72.1,CB,Portugal,70,79,2400000,4000
C. Bieler,35,152.4,77.1,ST,Argentina,70,70,925000,8000
M. Hefele,28,193.04,91.2,CB,Germany,70,72,1700000,24000
D. Blum,28,182.88,83,"ST,LM,RW,RM",Germany,70,70,1900000,19000
U. UÃ§ar,31,154.94,69.9,"RB,LB",Turkey,70,70,1200000,12000
N. Paz,26,193.04,88.9,"CB,LB",Argentina,70,75,2000000,15000
Bernardo,25,190.5,84.8,CB,Spain,70,77,2100000,5000
M. Gori,26,152.4,76.2,"CM,CDM",Italy,70,71,2100000,9000
R. Robayo,34,182.88,78,"CM,CDM",Colombia,70,70,875000,1000
A. Totovytskyi,26,187.96,77.1,"CAM,RM",Ukraine,70,73,2200000,1000
O. HÃ¼sing,26,193.04,88,CB,Germany,70,73,1900000,3000
A. Seculin,28,190.5,79.8,GK,Italy,70,71,1400000,7000
Marco Sangalli,27,152.4,66.2,"RM,RW",Spain,70,70,1900000,6000
M. Danielson,29,193.04,81.2,CB,Sweden,70,71,1600000,4000
Kim Young Gwon,29,185.42,74.8,CB,Korea Republic,70,71,1600000,7000
M. Barbieri,25,154.94,78.9,CB,Argentina,70,77,2100000,9000
G. Belaud,32,152.4,76.2,RB,France,70,70,1200000,4000
Ricardo Ferreira,29,187.96,82.1,GK,Portugal,70,71,1400000,5000
K. Barbarouses,29,170.18,68,"ST,RW",New Zealand,70,70,1800000,7000
J. RodrÃ­guez,22,170.18,60.8,CDM,Mexico,70,77,2100000,12000
C. Battocchio,27,170.18,64,"CM,LM",Italy,70,71,2100000,5000
W. Grigg,27,154.94,69.9,ST,Northern Ireland,70,71,2100000,9000
M. Coutadeur,32,170.18,68.9,"CDM,CM",France,70,70,1000000,4000
R. Petretta,21,175.26,69.9,LB,Italy,70,82,2800000,9000
S. De Ridder,32,152.4,71.2,"LM,CAM",Belgium,70,70,1600000,9000
Macarinho Louro,31,175.26,69.9,"CAM,CM",Brazil,70,70,1700000,8000
B. Meling,24,172.72,64,"LB,CDM",Norway,70,75,2000000,4000
N. Obiora,27,185.42,81.2,CDM,Nigeria,70,71,1700000,5000
Puertas,27,182.88,77.1,"LM,RM",Spain,70,70,1900000,6000
A. SaldÃ­var,29,182.88,78,GK,Mexico,70,70,1200000,9000
Y. Wissa,22,154.94,74.8,"LM,ST,RM",France,70,82,3200000,4000
R. Ovelar,33,154.94,81.2,ST,Paraguay,70,70,1400000,3000
D. Dessena,31,182.88,74.8,"CM,RB",Italy,70,70,1500000,3000
N. Al Shamrani,35,175.26,69.9,ST,Saudi Arabia,70,70,925000,22000
SÃ­lvio,31,175.26,72.1,"RB,LB",Portugal,70,70,1300000,4000
M. Bolados,23,167.64,72.1,"RW,RM,CM",Chile,70,77,2500000,5000
Diogildo Peixe,31,154.94,71.2,"CAM,ST",Brazil,70,70,1700000,10000
S. Griesbeck,28,187.96,84.8,"CDM,CM",Germany,70,70,1500000,7000
L. GarcÃ­a,26,182.88,89.8,GK,Mexico,70,75,1700000,9000
J. Brabec,26,187.96,83,CB,Czech Republic,70,73,1900000,1000
NenÃª,35,182.88,78,ST,Brazil,70,70,925000,5000
T. ItÅ,21,162.56,59,"LM,RM,LW",Japan,70,81,3100000,6000
L. Spalvis,24,187.96,78,ST,Lithuania,70,75,2400000,4000
Aitor GarcÃ­a,24,175.26,72.1,"ST,LM",Spain,70,76,2500000,6000
J. Paredes,31,175.26,72.1,"RB,RWB",Ecuador,70,70,,
M. Varnier,20,185.42,82.1,CB,Italy,70,85,3500000,2000
S. Morsy,27,172.72,74.8,"CDM,CM",Egypt,70,71,1700000,26000
F. AyitÃ©,30,175.26,73.9,"LW,ST,RW",Togo,70,70,1700000,31000
F. Zuculini,28,175.26,68,CM,Argentina,70,70,1800000,8000
Bruno Moreira,31,185.42,78.9,ST,Portugal,70,70,1700000,6000
C. Fierro,24,175.26,69.9,"RM,RW",Mexico,70,74,2300000,12000
M. Morrison,31,182.88,76.2,CB,England,70,70,1300000,14000
P. Gallagher,34,185.42,69.9,"CM,CDM",Scotland,70,70,1000000,9000
D. Nounkeu,32,182.88,79.8,CB,Cameroon,70,70,1000000,9000
T. Tawatha,26,172.72,69.9,"LB,LWB",Israel,70,71,1700000,16000
Toribio,30,175.26,71.2,"CDM,CM",Spain,70,70,1400000,6000
T. Carson,31,185.42,84.8,GK,Northern Ireland,70,70,1100000,4000
H. Aiesh,24,154.94,72.1,"RM,RW,LW",Sweden,70,75,2400000,3000
R. Boffin,31,195.58,86.2,GK,Belgium,70,70,1100000,8000
U. MatiÄ‡,28,182.88,78,CM,Serbia,70,70,1800000,12000
L. Giannetti,25,182.88,78.9,CB,Argentina,70,77,2100000,7000
D. SorgiÄ‡,29,152.4,69.9,ST,Serbia,70,70,1800000,10000
JosÃ© ArnÃ¡iz,23,175.26,69.9,"LM,ST,RM",Spain,70,79,2700000,13000
D. Kaiser,30,170.18,67.1,"CM,CAM,CDM",Germany,70,70,1700000,16000
A. Crescenzi,27,152.4,71.2,"LB,RB",Italy,70,71,1700000,3000
D. CerÃ©n,29,152.4,73,"CDM,CM",El Salvador,70,70,1400000,5000
Y. Al Shehri,28,165.1,63,"CAM,RM,LM,CM",Saudi Arabia,70,70,1800000,21000
Renato Chaves,28,185.42,78,CB,Brazil,70,70,1400000,13000
A. Sissoko,28,182.88,74.8,"CDM,CM",Mali,70,70,1400000,10000
Chong Te Se,35,154.94,79.8,ST,Korea DPR,70,70,925000,3000
DodÃ´,20,165.1,68,RB,Brazil,70,81,2600000,2000
R. Jenssen,30,172.72,71.2,"CM,LW",Norway,70,70,1600000,4000
J. Onomah,21,185.42,83,"CAM,CM,RM,LM",England,70,82,3200000,29000
P. Franco,27,182.88,73,"CB,CDM",Colombia,70,72,1700000,22000
J. Dudziak,23,175.26,69.9,"RB,LB,CDM,CM",Germany,70,75,2000000,8000
W. Zahibo,25,190.5,77.1,"CDM,CM",France,70,75,2000000,4000
J. Toledo,32,187.96,88.9,ST,Argentina,70,70,1400000,8000
C. Diandy,28,185.42,83,"CDM,CM",Senegal,70,71,1700000,8000
A. JÄ™drzejczyk,31,187.96,78,"RB,LB,CB",Poland,70,70,1300000,6000
Waguininho,29,152.4,68.9,"ST,CAM",Brazil,70,70,1800000,6000
M. Manotas,23,154.94,66.2,"ST,LW",Colombia,70,77,2500000,5000
Aderllan Santos,29,193.04,83.9,CB,Brazil,70,71,1600000,19000
J. Roa,27,172.72,67.1,"CM,RM,CDM",Colombia,70,71,2100000,3000
Dani HernÃ¡ndez,33,195.58,88.9,GK,Venezuela,70,70,1000000,5000
A. Bouhaddouz,31,187.96,88,ST,Morocco,70,70,1600000,10000
N. Hauptmann,22,175.26,66.2,"CAM,CM",Germany,70,80,2900000,10000
L. Paqarada,24,182.88,76.2,"LB,LWB",Kosovo,70,74,1900000,4000
D. Kinsombi,23,182.88,73.9,"CM,CDM,CB",Germany,70,76,2400000,7000
R. Improta,25,152.4,73,"LW,RW,LM",Italy,70,71,2100000,3000
E. Torres,26,182.88,81.2,ST,Mexico,70,73,2300000,12000
F. DiabatÃ©,23,175.26,59.9,"ST,LM,RM",Mali,70,78,2700000,30000
S. Willems,28,182.88,76.2,"CB,LB",France,70,71,1700000,8000
S. Ã–zcan,21,154.94,73.9,"CM,CDM",Germany,70,82,3100000,9000
M. Caligiuri,34,154.94,74.8,"CB,RB",Germany,70,70,550000,6000
D. Moberg Karlsson,24,152.4,76.2,"RM,LM",Sweden,70,76,2400000,1000
O. DramÃ©,26,175.26,69.9,LW,France,70,71,2100000,5000
Puado,20,152.4,68.9,"ST,CF,CAM",Spain,70,82,3200000,12000
C. Henao,30,187.96,84.8,CB,Colombia,70,70,1400000,3000
J. Palacios,28,152.4,72.1,RB,Colombia,70,70,1400000,3000
M. Wittek,23,172.72,69.9,LB,Germany,70,78,2200000,5000
M. Hartel,23,175.26,68.9,"LW,CAM",Germany,70,76,2400000,16000
M. FrÃ½dek,26,152.4,76.2,"CM,LB,CDM",Czech Republic,70,73,2200000,1000
A. Montero,23,195.58,84.8,GK,Colombia,70,79,2100000,2000
E. Hestad,23,182.88,74.8,"RW,CM",Norway,70,77,2500000,5000
M. Drudi,32,182.88,79.8,"CB,RB",Italy,70,70,1200000,2000
S. Schonlau,24,185.42,77.1,CB,Germany,70,74,2000000,6000
P. Toranzo,36,152.4,73,"CAM,CM,LM",Argentina,70,70,600000,7000
Daniel Amora,31,185.42,78,"CDM,CM",Brazil,70,70,1300000,11000
M. Hanousek,25,182.88,73.9,"LB,LM",Czech Republic,70,74,1900000,1000
T. Derijck,31,185.42,81.2,CB,Belgium,70,70,1200000,11000
E. LÃ³pez,24,152.4,78.9,"ST,LM",Colombia,70,77,2500000,9000
Anuar,24,172.72,63,"CDM,CAM,CM",Morocco,70,77,2100000,9000
K. GÃ¼nter,24,182.88,78.9,CB,Germany,70,75,2000000,8000
A. Konradsen,28,182.88,76.2,"CM,CDM",Norway,70,70,1800000,5000
G. Torres,30,154.94,74.8,ST,Panama,70,70,1800000,8000
T. Asano,24,172.72,71.2,"LM,RM,CF",Japan,70,75,2400000,39000
I. Nedelcearu,22,190.5,78.9,CB,Romania,70,78,,
L. Castro,26,175.26,78,"ST,RM",Colombia,70,71,2100000,3000
S. McKenna,22,187.96,79.8,CB,Scotland,70,83,3100000,4000
D. Fox,32,182.88,78,"CB,LB",Scotland,70,70,1000000,26000
S. Birnbaum,28,185.42,81.2,CB,United States,70,72,1700000,5000
C. Maxwell,28,185.42,73.9,GK,Wales,70,73,1500000,7000
D. Stracqualursi,31,190.5,86.2,ST,Argentina,70,70,1700000,8000
W. Sobota,31,175.26,63,"LM,RM",Poland,70,70,1600000,11000
S. Doi,26,172.72,63,"ST,LM,RM",Japan,70,71,2100000,8000
JosÃ© Mari,31,182.88,72.1,"CDM,CM",Spain,70,70,1300000,6000
T. Weilandt,26,185.42,73,"LM,RM,CAM",Germany,70,71,2100000,11000
A. Wisdom,25,185.42,78,RB,England,70,75,2000000,20000
K. Smith,28,175.26,69.9,"CM,CDM",England,70,70,1800000,23000
M. Bodmer,36,190.5,89.8,"CM,CDM,CB",France,70,70,750000,8000
F. Ballo-TourÃ©,22,182.88,73,"LB,LM",France,70,81,2700000,20000
Jeong Woon,29,154.94,73,LM,Korea Republic,70,70,1700000,4000
L. Mendoza,29,172.72,74.8,"RM,ST",Mexico,70,70,1800000,14000
M. Faraoni,27,154.94,71.2,"RB,RM",Italy,70,70,1500000,3000
D. Avdijaj,22,172.72,69.9,"LW,CAM,ST",Kosovo,70,77,2500000,5000
Juan Dominguez,29,154.94,71.2,"CM,CDM",Spain,70,70,1800000,12000
M. Sylla,24,175.26,74.8,ST,Senegal,70,74,2400000,11000
M. IbÃ¡Ã±ez,32,190.5,88,GK,Argentina,70,70,1100000,8000
F. Giefer,28,195.58,93,GK,Germany,70,71,1400000,10000
D. Batubinsika,23,185.42,87.1,CB,France,70,77,2100000,6000
S. Kaneko,23,162.56,58.1,"RM,ST",Japan,70,77,2500000,3000
Edsinho Torres,35,152.4,77.1,LB,Brazil,70,70,500000,9000
A. Rosi,31,182.88,79.8,"RM,RB",Italy,70,70,1600000,3000
E. LÃ³pez,24,167.64,66.2,"RM,CAM,LM",Mexico,70,74,2300000,17000
S. Hain,30,152.4,74.8,ST,Germany,70,70,1800000,4000
J. Caicedo,29,187.96,78.9,ST,Colombia,70,70,1800000,3000
P. SouarÃ©,28,152.4,66.2,LB,Senegal,70,70,1400000,25000
G. Carey,29,175.26,71.2,"RM,LM,CAM",Republic of Ireland,70,70,1700000,8000
